JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
VTE|Ventes|VT00047|20260219|411000|Clients|C006|Charpentes Ozanne|FA-2026-02C006|20260219|Facture Charpentes Ozanne|12864,00|0,00|LVT00047|20260415|20260219||
VTE|Ventes|VT00047|20260219|706000|Prestations de services|||FA-2026-02C006|20260219|Facture Charpentes Ozanne|0,00|10720,00|||20260219||
VTE|Ventes|VT00047|20260219|445710|TVA collectée|||FA-2026-02C006|20260219|Facture Charpentes Ozanne|0,00|2144,00|||20260219||
BQ|Banque|BQ00027|20260220|401000|Fournisseurs|F005|Énergie Cévennes|FF-2026-01F005|20260220|Règlement Énergie Cévennes|6996,00|0,00|LAC00026|20260220|20260220||
BQ|Banque|BQ00027|20260220|512000|Banque|||FF-2026-01F005|20260220|Règlement Énergie Cévennes|0,00|6996,00|||20260220||
ACH|Achats|AC00061|20260221|601000|Achats de matières premières|||FF-2026-02F005|20260221|Facture Énergie Cévennes|6050,00|0,00|||20260221||
ACH|Achats|AC00061|20260221|445660|TVA déductible|||FF-2026-02F005|20260221|Facture Énergie Cévennes|1210,00|0,00|||20260221||
ACH|Achats|AC00061|20260221|401000|Fournisseurs|F005|Énergie Cévennes|FF-2026-02F005|20260221|Facture Énergie Cévennes|0,00|7260,00|LAC00061|20260323|20260221||
VTE|Ventes|VT00049|20260222|411000|Clients|C007|Escaliers Mory|FA-2026-02C007|20260222|Facture Escaliers Mory|11256,00|0,00|LVT00049|20260329|20260222||
VTE|Ventes|VT00049|20260222|706000|Prestations de services|||FA-2026-02C007|20260222|Facture Escaliers Mory|0,00|9380,00|||20260222||
VTE|Ventes|VT00049|20260222|445710|TVA collectée|||FA-2026-02C007|20260222|Facture Escaliers Mory|0,00|1876,00|||20260222||
BQ|Banque|BQ00007|20260224|512000|Banque|||FA-2026-01C003|20260224|Règlement Menuiseries Lafon|21504,00|0,00|||20260224||
BQ|Banque|BQ00007|20260224|411000|Clients|C003|Menuiseries Lafon|FA-2026-01C003|20260224|Règlement Menuiseries Lafon|0,00|21504,00|LVT00006|20260224|20260224||
BQ|Banque|BQ00011|20260225|512000|Banque|||FA-2026-01C005|20260225|Règlement Solutions Bertholet|13824,00|0,00|||20260225||
BQ|Banque|BQ00011|20260225|411000|Clients|C005|Solutions Bertholet|FA-2026-01C005|20260225|Règlement Solutions Bertholet|0,00|13824,00|LVT00010|20260225|20260225||
VTE|Ventes|VT00051|20260225|411000|Clients|C008|Diffusion Nadaud|FA-2026-02C008|20260225|Facture Diffusion Nadaud|8040,00|0,00|LVT00051|20260322|20260225||
VTE|Ventes|VT00051|20260225|706000|Prestations de services|||FA-2026-02C008|20260225|Facture Diffusion Nadaud|0,00|6700,00|||20260225||
VTE|Ventes|VT00051|20260225|445710|TVA collectée|||FA-2026-02C008|20260225|Facture Diffusion Nadaud|0,00|1340,00|||20260225||
BQ|Banque|BQ00015|20260226|512000|Banque|||FA-2026-01C007|20260226|Règlement Escaliers Mory|10752,00|0,00|||20260226||
BQ|Banque|BQ00015|20260226|411000|Clients|C007|Escaliers Mory|FA-2026-01C007|20260226|Règlement Escaliers Mory|0,00|10752,00|LVT00014|20260226|20260226||
OD|Opérations diverses|OD00064|20260228|641000|Rémunérations du personnel||||20260228|Salaires du mois|28000,00|0,00|||20260228||
OD|Opérations diverses|OD00064|20260228|645000|Charges de sécurité sociale||||20260228|Charges sociales|11000,00|0,00|||20260228||
OD|Opérations diverses|OD00064|20260228|421000|Personnel — rémunérations dues||||20260228|Salaires du mois|0,00|28000,00|||20260228||
OD|Opérations diverses|OD00064|20260228|431000|Sécurité sociale||||20260228|Charges sociales|0,00|11000,00|||20260228||
BQ|Banque|BQ00065|20260228|421000|Personnel — rémunérations dues||||20260228|Virement des salaires|28000,00|0,00|||20260228||
BQ|Banque|BQ00065|20260228|431000|Sécurité sociale||||20260228|Versement des cotisations|11000,00|0,00|||20260228||
BQ|Banque|BQ00065|20260228|512000|Banque||||20260228|Paie du mois|0,00|39000,00|||20260228||
OD|Opérations diverses|OD00068|20260228|681100|Dotations aux amortissements||||20260228|Dotation du mois|2500,00|0,00|||20260228||
OD|Opérations diverses|OD00068|20260228|281500|Amortissements du matériel industriel||||20260228|Dotation du mois|0,00|2500,00|||20260228||
OD|Opérations diverses|OD00069|20260228|695000|Impôts sur les bénéfices||||20260228|Impôt sur les sociétés|2400,00|0,00|||20260228||
OD|Opérations diverses|OD00069|20260228|444000|État — impôt sur les bénéfices||||20260228|Impôt sur les sociétés|0,00|2400,00|||20260228||
BQ|Banque|BQ00070|20260228|444000|État — impôt sur les bénéfices||||20260228|Acompte d'impôt sur les sociétés|2400,00|0,00|||20260228||
BQ|Banque|BQ00070|20260228|512000|Banque||||20260228|Acompte d'impôt sur les sociétés|0,00|2400,00|||20260228||
OD|Opérations diverses|OD00071|20260228|445710|TVA collectée||||20260228|Déclaration de TVA|26800,00|0,00|||20260228||
OD|Opérations diverses|OD00071|20260228|445660|TVA déductible||||20260228|Déclaration de TVA|0,00|12260,00|||20260228||
OD|Opérations diverses|OD00071|20260228|512000|Banque||||20260228|Règlement de TVA|0,00|14540,00|||20260228||
VTE|Ventes|VT00072|20260304|411000|Clients|C001|Constructions Vallier|FA-2026-03C001|20260304|Facture Constructions Vallier|47304,00|0,00|LVT00072|20260607|20260304||
VTE|Ventes|VT00072|20260304|706000|Prestations de services|||FA-2026-03C001|20260304|Facture Constructions Vallier|0,00|39420,00|||20260304||
VTE|Ventes|VT00072|20260304|445710|TVA collectée|||FA-2026-03C001|20260304|Facture Constructions Vallier|0,00|7884,00|||20260304||
ACH|Achats|AC00088|20260305|601000|Achats de matières premières|||FF-2026-03F001|20260305|Facture Aciers Delmas|20400,00|0,00|||20260305||
ACH|Achats|AC00088|20260305|445660|TVA déductible|||FF-2026-03F001|20260305|Facture Aciers Delmas|4080,00|0,00|||20260305||
ACH|Achats|AC00088|20260305|401000|Fournisseurs|F001|Aciers Delmas|FF-2026-03F001|20260305|Facture Aciers Delmas|0,00|24480,00|LAC00088|20260419|20260305||
ACH|Achats|AC00098|20260305|613000|Locations||||20260305|Loyer de l'atelier|4500,00|0,00|||20260305||
ACH|Achats|AC00098|20260305|626000|Frais postaux et télécommunications||||20260305|Frais généraux|1800,00|0,00|||20260305||
ACH|Achats|AC00098|20260305|445660|TVA déductible||||20260305|Loyer et frais généraux|1260,00|0,00|||20260305||
ACH|Achats|AC00098|20260305|512000|Banque||||20260305|Loyer et frais généraux|0,00|7560,00|||20260305||
BQ|Banque|BQ00102|20260305|661000|Charges d'intérêts||||20260305|Intérêts de l'emprunt|320,00|0,00|||20260305||
BQ|Banque|BQ00102|20260305|164000|Emprunts auprès des établissements de crédit||||20260305|Amortissement de l'emprunt|1800,00|0,00|||20260305||
BQ|Banque|BQ00102|20260305|512000|Banque||||20260305|Échéance d'emprunt|0,00|2120,00|||20260305||
VTE|Ventes|VT00074|20260307|411000|Clients|C002|Groupe Ambert|FA-2026-03C002|20260307|Facture Groupe Ambert|33288,00|0,00|LVT00074|20260508|20260307||
VTE|Ventes|VT00074|20260307|706000|Prestations de services|||FA-2026-03C002|20260307|Facture Groupe Ambert|0,00|27740,00|||20260307||
VTE|Ventes|VT00074|20260307|445710|TVA collectée|||FA-2026-03C002|20260307|Facture Groupe Ambert|0,00|5548,00|||20260307||
ACH|Achats|AC00090|20260308|601000|Achats de matières premières|||FF-2026-03F002|20260308|Facture Bois du Forez|14400,00|0,00|||20260308||
ACH|Achats|AC00090|20260308|445660|TVA déductible|||FF-2026-03F002|20260308|Facture Bois du Forez|2880,00|0,00|||20260308||
ACH|Achats|AC00090|20260308|401000|Fournisseurs|F002|Bois du Forez|FF-2026-03F002|20260308|Facture Bois du Forez|0,00|17280,00|LAC00090|20260407|20260308||
BQ|Banque|BQ00005|20260310|512000|Banque|||FA-2026-01C002|20260310|Règlement Groupe Ambert|29184,00|0,00|||20260310||
BQ|Banque|BQ00005|20260310|411000|Clients|C002|Groupe Ambert|FA-2026-01C002|20260310|Règlement Groupe Ambert|0,00|29184,00|LVT00004|20260310|20260310||
BQ|Banque|BQ00056|20260310|401000|Fournisseurs|F002|Bois du Forez|FF-2026-02F002|20260310|Règlement Bois du Forez|15840,00|0,00|LAC00055|20260310|20260310||
BQ|Banque|BQ00056|20260310|512000|Banque|||FF-2026-02F002|20260310|Règlement Bois du Forez|0,00|15840,00|||20260310||
VTE|Ventes|VT00076|20260310|411000|Clients|C003|Menuiseries Lafon|FA-2026-03C003|20260310|Facture Menuiseries Lafon|24528,00|0,00|LVT00076|20260424|20260310||
VTE|Ventes|VT00076|20260310|706000|Prestations de services|||FA-2026-03C003|20260310|Facture Menuiseries Lafon|0,00|20440,00|||20260310||
VTE|Ventes|VT00076|20260310|445710|TVA collectée|||FA-2026-03C003|20260310|Facture Menuiseries Lafon|0,00|4088,00|||20260310||
ACH|Achats|AC00092|20260312|601000|Achats de matières premières|||FF-2026-03F003|20260312|Facture Quincaillerie Pons|10800,00|0,00|||20260312||
ACH|Achats|AC00092|20260312|445660|TVA déductible|||FF-2026-03F003|20260312|Facture Quincaillerie Pons|2160,00|0,00|||20260312||
ACH|Achats|AC00092|20260312|401000|Fournisseurs|F003|Quincaillerie Pons|FF-2026-03F003|20260312|Facture Quincaillerie Pons|0,00|12960,00|LAC00092|20260511|20260312||
BQ|Banque|BQ00023|20260313|401000|Fournisseurs|F003|Quincaillerie Pons|FF-2026-01F003|20260313|Règlement Quincaillerie Pons|11448,00|0,00|LAC00022|20260313|20260313||
BQ|Banque|BQ00023|20260313|512000|Banque|||FF-2026-01F003|20260313|Règlement Quincaillerie Pons|0,00|11448,00|||20260313||
VTE|Ventes|VT00078|20260313|411000|Clients|C004|Atelier Rivaud|FA-2026-03C004|20260313|Facture Atelier Rivaud|19272,00|0,00|LVT00078|20260412|20260313||
VTE|Ventes|VT00078|20260313|706000|Prestations de services|||FA-2026-03C004|20260313|Facture Atelier Rivaud|0,00|16060,00|||20260313||
